,vector,neighbors,degree,visited,option
1st Stage,,,,,
,5,"['6', '4', '2']",3,False,X
,2,"['6', '5', '1']",3,False,
,8,"['1', '3']",2,False,
,1,"['7', '2', '8']",3,False,
,6,"['4', '5', '2']",3,False,
,7,['1'],1,False,
,4,"['6', '5']",2,False,
,3,['8'],1,False,
2nd Stage,,,,,
,5,"['6', '4', '2']",3,True,
,2,"['6', '1']",2,False,
,8,"['1', '3']",2,False,
,1,"['7', '2', '8']",3,False,X
,6,"['4', '2']",2,False,
,7,['1'],1,False,
,4,['6'],1,False,
,3,['8'],1,False,
3rd Stage,,,,,
,5,"['6', '4', '2']",3,True,
,2,['6'],1,False,
,8,['3'],1,False,
,1,"['7', '2', '8']",3,True,
,6,"['4', '2']",2,False,X
,7,[],0,True,
,4,['6'],1,False,
,3,['8'],1,False,
4th Stage,,,,,
,5,"['6', '4', '2']",3,True,
,2,[],0,True,
,8,['3'],1,False,X
,1,"['7', '2', '8']",3,True,
,6,"['4', '2']",2,True,
,7,[],0,True,
,4,[],0,True,
,3,['8'],1,False,
